CDSCODE,MPD_NAME,ZIP,MPD_TYPE,MAP_TYPE,CHARTER,LD,Campus,Budget (incl c/o) FY24,Expenditures FY24,% Exp FY24,Pct_Met_Above,Mean_Score
19647336057939,NIMITZ MS,90255,J,MS, ,0,NIMITZ MS,18802827.0,16689938.429999998,0.8876292075654367,34.6575,2499.5
19647336061394,AUDUBON MS,90008,J,MS, ,0,AUDUBON MS,12618220.0,10690015.330000024,0.847188853102896,27.1575,2473.133333333333
19647331931054,WESTSIDE GLBL AWR MAG,90292,SP,M, ,0,WESTSIDE GLBL AWR MAG,5263785.0,4628859.740000002,0.87937857264307,45.11857142857143,2482.0166666666664
19647336107064,PIO PICO MS,90019,J,MS, ,0,PIO PICO MS,6573638.0,4915339.489999995,0.7477350426050224,36.4825,2503.633333333333
19647336057889,BELVEDERE MS,90063,J,MS, ,0,BELVEDERE MS,13920639.0,11795271.360000052,0.8473225517880358,30.9,2491.9
19647336068431,EL SERENO MS,90032,J,MS, ,0,EL SERENO MS,14959323.0,13958626.209999988,0.933105476096745,43.465,2526.733333333333
19647336061444,EDISON MS,90001,J,MS, ,0,EDISON MS,15171541.0,13951523.509999998,0.9195851304755396,25.54,2477.433333333333
19647330117051,ROYBAL LC,90026,S,HS, ,0,ROYBAL LC,21014120.0,17250856.43,0.8209173845966427,45.25,2566.8
19647336058135,MARK TWAIN MS,90066,J,MS, ,0,MARK TWAIN MS,13457351.0,10730641.46000001,0.7973814058948162,51.227500000000006,2548.4666666666667
19647336058218,PACOIMA MS,91331,J,MS, ,0,PACOIMA MS,15261992.0,13621229.41000004,0.892493549334847,37.3725,2510.233333333333
19647336058242,PORTER MS,91344,J,MS, ,0,PORTER MS,14011189.0,12388071.900000015,0.8841556487461567,57.68,2558.4666666666667
19647336057962,DREW MS,90001,J,MS, ,0,DREW MS,14312035.0,11058258.299999995,0.77265450370964,21.573333333333334,2464.55
19647331939479,WESM HLTH/SPORTS MED,90045,SS,M, ,0,WESM HLTH/SPORTS MED,13367173.0,11384670.650000043,0.8516887340352401,45.03,2555.3
19647330122176,BACA ARTS ACAD,90002,E,ES, ,0,BACA ARTS ACAD,8991038.0,8505439.83999998,0.94599086779524,29.796,2432.8
19647336017743,KNOLLWOOD PREP ACAD,91344,E,CCA,Y,0,KNOLLWOOD PREP ACAD,7845952.0,6050190.879999987,0.7711225967224865,42.292500000000004,2443.5333333333333
19647336057913,CARNEGIE MS,90745,J,MS, ,0,CARNEGIE MS,14288179.0,12485404.470000004,0.8738275514325515,40.73,2516.9666666666667
19647331996115,CITY OF ANGELS,90015,O,O, ,0,CITY OF ANGELS,17813105.0,14113807.64999999,0.7923272023602841,30.568,2502.95
19647336058127,MARINA DEL REY MS,90066,J,MS, ,0,MARINA DEL REY MS,11345835.0,8884508.489999983,0.7830634316469421,24.905,2487.7999999999997
19647336066294,CURTISS MS,90746,J,MS, ,0,CURTISS MS,8353063.0,7400366.219999997,0.8859464151054526,32.33,2498.9666666666667
19647330101618,RIORDAN PC,90042,EP,ES, ,0,RIORDAN PC,3826746.0,3080852.5999999964,0.805084162889305,51.925,2417.2
19647336058382,WRIGHT ENG DES MAG,90045,J,M, ,0,WRIGHT ENG DES MAG,8648458.0,7559126.099999995,0.8740432225027854,28.7825,2490.6
19647336058226,PALMS MS,90034,J,MS, ,0,PALMS MS,16392224.0,13777684.489999983,0.8405012333896844,59.0125,2571.633333333333
19647336058325,SUTTER MS,91306,J,MS, ,0,SUTTER MS,14749280.0,11864014.849999985,0.8043792544449617,25.1,2469.0
19647330102913,MIDDLE COLLEGE HS,90047,SA,HS, ,0,MIDDLE COLLEGE HS,5867719.0,4779586.909999983,0.8145562031855962,85.9,2666.4
19647336058309,SOUTH GATE MS,90280,J,MS, ,0,SOUTH GATE MS,19475510.0,18452095.480000045,0.9474512082096974,37.195,2509.4
19647336057921,CARVER MS,90011,J,MS, ,0,CARVER MS,13964166.0,12087694.29999999,0.8656223579696768,19.5425,2460.766666666667
19647336061410,BURROUGHS MS,90005,J,MS, ,0,BURROUGHS MS,18155398.0,14468474.940000009,0.7969241401372753,62.2025,2571.4
19647336018949,ROCKDALE VAPA MAG,90041,ES,M, ,0,ROCKDALE VAPA MAG,3951473.0,3711227.359999999,0.9392009916302096,64.464,2513.75
19647336058051,HOLLENBECK MS,90023,J,MS, ,0,HOLLENBECK MS,16630427.0,14997472.97000004,0.9018092542061632,40.665,2518.633333333333
19647330119701,CASTRO MS,90026,J,MS, ,0,CASTRO MS,5971812.0,5245988.40999999,0.8784583992262298,22.287499999999998,2471.7999999999997
19647336057855,ADAMS MS,90007,J,MS, ,0,ADAMS MS,11898164.0,10685046.549999986,0.8980416264223611,39.4875,2513.2000000000003
19647331932847,LACES MAG,90035,SP,M, ,0,LACES MAG,15350962.0,14981213.44000003,0.9759136554438758,68.356,2603.975
19647336058069,HOLMES MS,91325,J,MS, ,0,HOLMES MS,13734999.0,12506953.920000032,0.9105900859548683,59.91,2567.9666666666667
19647330106989,SOUTHEAST MS,90280,J,MS, ,0,SOUTHEAST MS,18812953.0,17090885.510000005,0.9084637329397468,30.5125,2496.7666666666664
19647336115794,LOS ANGELES ACAD MS,90011,J,MS, ,0,LOS ANGELES ACAD MS,18390241.0,14644633.489999976,0.7963263499374464,29.1475,2484.0333333333333
19647330106971,VISTA MS,91402,J,MS, ,0,VISTA MS,21051260.0,16640666.65000002,0.7904831658532563,29.2875,2482.233333333333
19647330114199,LIECHTY MS,90017,J,MS, ,0,LIECHTY MS,16407851.0,13613392.249999989,0.8296877055989836,25.125,2468.3333333333335
19647331931559,STONEY POINT HS,91311,C,HS, ,0,STONEY POINT HS,2234894.0,2007401.169999996,0.8982086711942471,13.16,2456.0
19647336061501,LE CONTE MS,90028,J,MS, ,0,LE CONTE MS,13258809.0,9629093.520000003,0.7262412121631742,26.4175,2484.133333333333
19647336061469,GAGE MS,90255,J,MS, ,0,GAGE MS,19790475.0,17322338.410000008,0.875286642185193,35.19,2502.0
19647336061519,MADISON MS,91605,J,MS, ,0,MADISON MS,20861146.0,18797204.480000038,0.9010628888748506,29.2875,2486.9666666666667
19647331932540,EAGLE ROCK HS,90041,EJ,SS, ,0,EAGLE ROCK HS,26919175.0,24744678.009999964,0.919221261795726,65.45,2600.0
19647336058044,HARTE PREP MS,90044,J,MS, ,0,HARTE PREP MS,11262873.0,9703992.610000042,0.861591230763238,16.2225,2436.633333333333
19647330112011,CLINTON MS,90071,J,MS, ,0,CLINTON MS,11376751.0,10948820.319999997,0.962385510590853,26.27,2476.1
19647336061576,PEARY MS,90247,J,MS, ,0,PEARY MS,21101260.0,17576067.580000006,0.8329392453341652,29.9925,2492.4
19647336058341,VIRGIL MS,90004,J,MS, ,0,VIRGIL MS,16673742.0,14480099.909999993,0.8684373255865415,41.8075,2513.866666666667
19647336058358,WEBSTER MS,90064,J,MS, ,0,WEBSTER MS,9799401.0,7778380.359999996,0.7937607982365449,29.642500000000002,2497.866666666667
19647336058093,LAWRENCE MS,91311,J,MS, ,0,LAWRENCE MS,14000136.0,12318540.530000016,0.8798872046671559,45.99,2529.1666666666665
19647336058143,BETHUNE MS,90003,J,MS, ,0,BETHUNE MS,16368413.0,13499208.139999991,0.8247108708706209,26.055,2474.5333333333333
19647336058283,SAN FERNANDO MS,91340,J,MS, ,0,SAN FERNANDO MS,11019151.0,8919693.770000003,0.8094719611338481,27.16,2471.6666666666665
19647331933043,FRANKLIN HS,90042,S,HS, ,0,FRANKLIN HS,20251607.0,19284145.080000028,0.9522278938160328,32.636,2502.725
19647331996651,SECONDARY CDS,90017,CDS,O, ,0,SECONDARY CDS,2328633.0,1811979.76,0.778130242077648,23.590000000000003,2480.8
19647336058366,WHITE MS,90745,J,MS, ,0,WHITE MS,22455591.0,17961211.659999978,0.7998547738066648,49.3225,2541.2999999999997
19647336058176,MUIR MS,90044,J,MS, ,0,MUIR MS,13301272.0,10144826.869999984,0.7626959940372608,16.99,2450.9333333333334
19647336058168,MOUNT GLEASON MS,91040,J,MS, ,0,MOUNT GLEASON MS,11401673.0,10956642.390000025,0.960967955316735,46.894999999999996,2535.7333333333336
19647330117044,ROMER MS,91606,J,MS, ,0,ROMER MS,14890463.0,11052783.000000024,0.7422726210729662,32.215,2495.9
19647336058291,SEPULVEDA MS,91343,J,MS, ,0,SEPULVEDA MS,20753883.0,15560533.480000025,0.7497649225448569,22.134999999999998,2465.766666666667
19647336058028,GOMPERS MS,90061,J,MS, ,0,GOMPERS MS,10509851.0,8952860.899999961,0.8518542175336227,14.2225,2428.1666666666665
19647336061568,WOODLAND HILLS ACAD,91367,J,MS,Y,0,WOODLAND HILLS ACAD,9969665.0,8347292.920000013,0.837269147960339,31.884999999999998,2498.433333333333
19647336058333,VAN NUYS MS,91411,J,MS, ,0,VAN NUYS MS,14490953.0,12118912.44999998,0.8363088645722597,37.0475,2506.5
19647336062699,REED MS,91602,J,MS, ,0,REED MS,16862099.0,15216047.629999992,0.902381585471654,62.464999999999996,2578.1666666666665
19647336061550,OLIVE VISTA MS,91342,J,MS, ,0,OLIVE VISTA MS,15956504.0,15053225.679999989,0.9433912140153,33.6175,2497.8333333333335
19647336058275,FROST MS,91344,J,MS, ,0,FROST MS,15926759.0,15059501.089999983,0.9455471191596472,71.415,2593.0
19647336016885,ELIZABETH LC,90201,EJ,SS, ,0,ELIZABETH LC,24915566.0,19612292.87000008,0.7871502044143841,32.27125,2467.414285714286
19647336061402,BERENDO MS,90006,J,MS, ,0,BERENDO MS,12225746.0,9795337.00999997,0.8012056695763162,24.927500000000002,2477.633333333333
19647336057996,FLEMING MS,90717,J,MS, ,0,FLEMING MS,16493293.0,15221622.280000005,0.9228977063585788,37.167500000000004,2510.7999999999997
19647336057871,BANCROFT MS,90038,J,MS, ,0,BANCROFT MS,9625202.0,8163318.669999996,0.8481192051865505,30.455,2484.9666666666667
19647336058192,NIGHTINGALE MS,90065,J,MS, ,0,NIGHTINGALE MS,13750553.0,12427108.780000033,0.9037533821367064,39.715,2511.5666666666666
19647336061451,FOSHAY LC,90018,EJ,SS, ,0,FOSHAY LC,25013440.0,21359630.900000047,0.85392616529354,43.3075,2495.342857142857
19647336016810,BRADLEY GLBL AWR MAG,90008,ES,M, ,0,BRADLEY GLBL AWR MAG,5780569.0,4227407.599999996,0.7313134053066396,46.5775,2450.933333333333
19647336017677,YES ACADEMY,90043,E,ES, ,0,YES ACADEMY,11380244.0,8256477.620000001,0.7255097184208003,17.3875,2375.3333333333335
19647336061527,MARKHAM MS,90002,J,MS, ,0,MARKHAM MS,13734469.0,11464201.660000034,0.834702940463154,14.895,2441.7999999999997
19647331931468,METROPOLITAN HS,90021,C,HS, ,0,METROPOLITAN HS,2116366.0,1901827.330000002,0.8986287485245945,12.5,2472.1
19647336061485,HENRY MS,91344,J,MS, ,0,HENRY MS,15430290.0,14776580.74999998,0.9576346750449914,45.3925,2536.4666666666667
19647336058101,MACLAY MS,91331,J,MS, ,0,MACLAY MS,8207858.0,6816493.310000001,0.8304838253780708,19.67,2464.2666666666664
19647331933233,SOCES MAG,91335,SP,M, ,0,SOCES MAG,19621361.0,17736284.55000005,0.903927334602327,67.67,2575.5499999999997
19647336058200,NORTHRIDGE MS,91325,J,MS, ,0,NORTHRIDGE MS,14523720.0,11909021.459999986,0.8199704662441845,26.96,2476.866666666667
19647336058184,MULHOLLAND MS,91406,J,MS, ,0,MULHOLLAND MS,16604143.0,14771095.239999918,0.8896029888444058,38.61,2511.4
19647336058002,FULTON COLLEGE PREP,91405,EJ,SS, ,0,FULTON COLLEGE PREP,22765857.0,19589018.950000003,0.8604560307130104,28.938,2486.7
19647336016349,CAROLDALE LC,90745,EJ,SS, ,0,CAROLDALE LC,9927074.0,9347507.45000002,0.9416175854033142,51.19714285714286,2508.016666666667
19647336061436,DODSON MS,90275,J,MS, ,0,DODSON MS,16052258.0,14743177.530000068,0.918448826950082,63.582499999999996,2588.5333333333333
19647336057954,DANA MS,90731,J,MS, ,0,DANA MS,21117829.0,18639050.91000001,0.8826215474137996,35.655,2502.0
19647336057905,BYRD MS,91352,J,MS, ,0,BYRD MS,16617280.0,14854804.599999988,0.8939371906834324,35.415,2507.2999999999997
19647330122382,TORRES ENG & TECH,90063,S,HS, ,0,TORRES ENG & TECH,6036364.0,5185022.909999994,0.8589645869599636,24.19,2514.9
19647330122358,TORRES HUM/ART/TECH,90063,S,HS, ,0,TORRES HUM/ART/TECH,6267951.0,5521941.329999997,0.8809802964318,46.99,2568.9
19647330122374,TORRES RENAISSANCE,90063,S,HS, ,0,TORRES RENAISSANCE,7585715.0,6137834.53,0.8091306528125563,48.0,2577.5
